Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
java,cesiumlanguagewriter,ShadowModeCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShadowModePropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,PositionCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ReferenceFramePropertyName; CartesianPropertyName; CartographicRadiansPropertyName; CartographicDegreesPropertyName; CartesianVelocityPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,VerticalOriginCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: VerticalOriginPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,RectangleCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; CoordinatesPropertyName; HeightPropertyName; HeightReferencePropertyName; ExtrudedHeightPropertyName; ExtrudedHeightReferencePropertyName; RotationPropertyName; StRotationPropertyName; GranularityPropertyName; FillPropertyName; MaterialPropertyName; OutlinePropertyName; OutlineColorPropertyName; OutlineWidthPropertyName; ShadowsPropertyName; DistanceDisplayConditionPropertyName; ClassificationTypePropertyName; ZIndexPropertyName
java,cesiumlanguagewriter,RectangleCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
java,cesiumlanguagewriter,ColorBlendModeCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ColorBlendModePropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,PolylineArrowMaterialCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ColorPropertyName
java,cesiumlanguagewriter,PixelOffsetCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: Cartesian2PropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,EllipseCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; SemiMajorAxisPropertyName; SemiMinorAxisPropertyName; HeightPropertyName; HeightReferencePropertyName; ExtrudedHeightPropertyName; ExtrudedHeightReferencePropertyName; RotationPropertyName; StRotationPropertyName; GranularityPropertyName; FillPropertyName; MaterialPropertyName; OutlinePropertyName; OutlineColorPropertyName; OutlineWidthPropertyName; NumberOfVerticalLinesPropertyName; ShadowsPropertyName; DistanceDisplayConditionPropertyName; ClassificationTypePropertyName; ZIndexPropertyName
java,cesiumlanguagewriter,EllipseCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
java,cesiumlanguagewriter,SolidColorMaterialCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ColorPropertyName
java,cesiumlanguagewriter,ArticulationCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NumberPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,PolylineDashMaterialCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ColorPropertyName; GapColorPropertyName; DashLengthPropertyName; DashPatternPropertyName
java,cesiumlanguagewriter,ColorCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: RgbaPropertyName; RgbafPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,NearFarScalarCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NearFarScalarPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,ClockCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CurrentTimePropertyName; MultiplierPropertyName; RangePropertyName; StepPropertyName
java,cesiumlanguagewriter,FontCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FontPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,DoubleListCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ArrayPropertyName; ReferencesPropertyName; DeletePropertyName
java,cesiumlanguagewriter,UriCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UriPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,HeightReferenceCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HeightReferencePropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,NodeTransformationCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TranslationPropertyName; RotationPropertyName; ScalePropertyName
